"","fid","objectid","mun","county","mun_label","name","gnis_name","ssn","mun_code","census2010","sq_miles","positives","ho2020"
"58",68,467,"UPPER SADDLE RIVER BORO","BERGEN","Upper Saddle River Borough","Upper Saddle River Borough","Upper Saddle River","0263","0263","3400375140",5.27159622,53,NA
"59",63,458,"PARK RIDGE BORO","BERGEN","Park Ridge Borough","Park Ridge Borough","Park Ridge","0247","0247","3400356130",2.62788947,161,NA
"60",60,455,"RIVER VALE TWP","BERGEN","River Vale Township","River Vale Township","River Vale","0253","0253","3400363690",4.31385298,109,NA
"61",70,536,"TETERBORO BORO","BERGEN","Teterboro Borough","Teterboro Borough","Teterboro","0262","0262","3400372480",1.11646408,6,NA
"62",61,456,"ALLENDALE BORO","BERGEN","Allendale Borough","Allendale Borough","Allendale","0201","0201","3400300700",3.1159381,62,NA
"63",32,412,"BERGENFIELD BORO","BERGEN","Bergenfield Borough","Bergenfield Borough","Bergenfield","0203","0203","3400305170",2.90662449,780,NA
"64",20,392,"BOGOTA BORO","BERGEN","Bogota Borough","Bogota Borough","Bogota","0204","0204","3400306490",0.79935533,170,NA
"65",59,454,"FRANKLIN LAKES BORO","BERGEN","Franklin Lakes Borough","Franklin Lakes Borough","Franklin Lakes","0220","0220","3400324990",9.87995385,148,NA
"66",69,471,"MAHWAH TWP","BERGEN","Mahwah Township","Mahwah Township","Mahwah","0233","0233","3400342750",25.88169281,260,NA
"67",66,464,"MONTVALE BORO","BERGEN","Montvale Borough","Montvale Borough","Montvale","0236","0236","3400347610",4.03298934,76,NA
"68",65,460,"OAKLAND BORO","BERGEN","Oakland Borough","Oakland Borough","Oakland","0242","0242","3400353850",8.76835015,221,NA
"69",67,465,"RAMSEY BORO","BERGEN","Ramsey Borough","Ramsey Borough","Ramsey","0248","0248","3400361680",5.57231291,129,NA
"70",7,369,"EDGEWATER BORO","BERGEN","Edgewater Borough","Edgewater Borough","Edgewater","0213","0213","3400320020",0.96890716,128,NA
