"","Town_No","Town","LastUpdateDate","ConfirmedCases","Deaths","CaseRate","PeopleTested"
"160",160,"Willington","2020-05-17",11,0,187,90
"161",161,"Wilton","2020-05-17",200,37,1087,720
"162",162,"Winchester","2020-05-17",50,3,469,269
"163",163,"Windham","2020-05-17",137,10,555,529
"164",164,"Windsor","2020-05-17",468,92,1627,1008
"165",165,"Windsor Locks","2020-05-17",94,15,730,333
"166",166,"Wolcott","2020-05-17",93,8,559,425
"167",167,"Woodbridge","2020-05-17",118,28,1340,386
"168",168,"Woodbury","2020-05-17",39,2,409,268
"169",169,"Woodstock","2020-05-17",13,0,165,171
