"","attributes.OBJECTID","attributes.PO_NAME","attributes.ZIP_CODE","attributes.Negative","attributes.Positive","attributes.Probable","attributes.Additional_Tracking","attributes.Positive_Redacted","attributes.Negative_Redacted"
"118", 410,Vintondale,15961,  14,  0, 0,NA,NA,NA
"119", 411,Windber,15963, 108,  0, 0,NA,NA,NA
"120", 414,Boyers,16020,   9,  0, 0,NA,NA,NA
"121", 415,Bruin,16022,   6,  0, 0,NA,NA,NA
"122", 417,Chicora,16025,  70, -1, 0,NA,NA,NA
"123", 419,East Brady,16028,  17,  0, 0,NA,NA,NA
"124", 420,Eau Claire,16030,  -1,  0, 0,NA,NA,NA
"125", 423,Foxburg,16036,   0,  0, 0,NA,NA,NA
"126", 425,Harrisville,16038,  27, -1, 0,NA,NA,NA
"127", 426,Hilliards,16040,   7,  0, 0,NA,NA,NA
"128", 427,Karns City,16041,  22, -1, 0,NA,NA,NA
"129", 430,Parker,16049,  19,  8, 0,NA,NA,NA
"130", 431,Petrolia,16050,  16,  0, 0,NA,NA,NA
"131", 432,Portersville,16051,  25, -1, 0,NA,NA,NA
"132", 437,Slippery Rock,16057,  99,  6,-1,NA,NA,NA
"133", 439,West Sunbury,16061,  34, -1,-1,NA,NA,NA
"134", 442,New Castle,16101, 297, 20, 0,NA,NA,NA
"135", 443,New Castle,16102,  41, -1,-1,NA,NA,NA
"136", 444,New Castle,16105, 125, 11, 0,NA,NA,NA
"137", 445,Adamsville,16110,  -1,  0, 0,NA,NA,NA
"138", 446,Atlantic,16111,   6,  0, 0,NA,NA,NA
"139", 447,Bessemer,16112,  13, -1, 0,NA,NA,NA
"140", 448,Clarks Mills,16114,  -1,  0, 0,NA,NA,NA
"141", 450,Edinburg,16116,  19, -1,-1,NA,NA,NA
"142", 453,Farrell,16121,  23,  8, 0,NA,NA,NA
"143", 455,Fredonia,16124,  -1, -1, 0,NA,NA,NA
"144", 456,Greenville,16125, 223, -1, 0,NA,NA,NA
"145", 457,Grove City,16127,  52,  9, 0,NA,NA,NA
"146", 458,Hadley,16130,   9,  0, 0,NA,NA,NA
"147", 459,Hartstown,16131,  -1, -1, 0,NA,NA,NA
"148", 460,Jackson Center,16133,   6, -1, 0,NA,NA,NA
"149", 461,Jamestown,16134,  21,  0, 0,NA,NA,NA
"150", 463,Mercer,16137,  36, -1,-1,NA,NA,NA
"151", 465,New Wilmington,16142,  79, -1, 0,NA,NA,NA
"152", 466,Pulaski,16143,  19, -1, 0,NA,NA,NA
"153", 467,Sandy Lake,16145,  11,  0, 0,NA,NA,NA
"154", 468,Sharon,16146,  51, 16,-1,NA,NA,NA
"155", 469,Hermitage,16148,  95,  9,-1,NA,NA,NA
"156", 470,Sharpsville,16150,  38,  5, 0,NA,NA,NA
"157", 471,Stoneboro,16153,   8,  0, 0,NA,NA,NA
"158", 472,Transfer,16154,  13,  0, 0,NA,NA,NA
"159", 473,Volant,16156,  15, -1, 0,NA,NA,NA
"160", 475,West Middlesex,16159,  34, -1, 0,NA,NA,NA
"161", 476,New Wilmington,16172,   0,  0, 0,NA,NA,NA
"162", 480,Callensburg,16213,   0,  0, 0,NA,NA,NA
"163", 481,Clarion,16214,  50, -1, 0,NA,NA,NA
"164", 482,Cooksburg,16217,  -1,  0, 0,NA,NA,NA
"165", 483,Cowansville,16218,  10, -1, 0,NA,NA,NA
"166", 485,Fairmount City,16224,   9,  0, 0,NA,NA,NA
"167", 486,Fisher,16225,   0,  0, 0,NA,NA,NA
"168", 490,Knox,16232,  29, -1, 0,NA,NA,NA
"169", 491,Leeper,16233,   6, -1, 0,NA,NA,NA
"170", 492,Limestone,16234,  -1,  0, 0,NA,NA,NA
"171", 493,Lucinda,16235,   6,  0, 0,NA,NA,NA
"172", 495,Marienville,16239,  15, -1,-1,NA,NA,NA
"173", 496,Mayport,16240,   5, -1, 0,NA,NA,NA
"174", 497,New Bethlehem,16242,  46, -1, 0,NA,NA,NA
"175", 498,Rimersburg,16248,  19, -1, 0,NA,NA,NA
"176", 500,Seminole,16253,  -1,  0, 0,NA,NA,NA
"177", 501,Shippenville,16254,  21, -1, 0,NA,NA,NA
"178", 502,Sligo,16255,   9, -1, 0,NA,NA,NA
"179", 504,Strattanville,16258,  17, -1, 0,NA,NA,NA
"180", 506,Vowinckel,16260,  -1,  0, 0,NA,NA,NA
"181", 509,Oil City,16301,  63,  0, 0,NA,NA,NA
"182", 510,Carlton,16311,  -1,  0, 0,NA,NA,NA
"183", 511,Clarendon,16313,  12,  0, 0,NA,NA,NA
"184", 512,Cochranton,16314,  27, -1,-1,NA,NA,NA
"185", 513,Conneaut Lake,16316,  19,  0, 0,NA,NA,NA
"186", 514,Cooperstown,16317,   7, -1, 0,NA,NA,NA
"187", 515,Cranberry,16319,   8,  0, 0,NA,NA,NA
"188", 516,East Hickory,16321,   0,  0, 0,NA,NA,NA
"189", 517,Franklin,16323,  83, -1,-1,NA,NA,NA
"190", 518,Fryburg,16326,  -1, -1, 0,NA,NA,NA
"191", 519,Guys Mills,16327,   6, -1, 0,NA,NA,NA
"192", 520,Irvine,16329,  -1,  0, 0,NA,NA,NA
"193", 521,Kossuth,16331,   0,  0, 0,NA,NA,NA
"194", 522,Lickingville,16332,  -1,  0, 0,NA,NA,NA
"195", 523,Ludlow,16333,   6,  0, 0,NA,NA,NA
"196", 524,Marble,16334,   0, -1, 0,NA,NA,NA
"197", 525,Meadville,16335, 121, -1,-1,NA,NA,NA
"198", 526,Pittsfield,16340,   7,  0, 0,NA,NA,NA
"199", 527,Pleasantville,16341,  15,  0, 0,NA,NA,NA
"200", 528,Polk,16342,  14,  0, 0,NA,NA,NA
"201", 529,Russell,16345,  15,  0, 0,NA,NA,NA
"202", 530,Seneca,16346,  12, -1, 0,NA,NA,NA
"203", 531,Sheffield,16347,   9,  0, 0,NA,NA,NA
"204", 532,Sugar Grove,16350,  -1,  0, 0,NA,NA,NA
"205", 533,Tidioute,16351,  12,  0, 0,NA,NA,NA
"206", 534,Tionesta,16353,  11, -1, 0,NA,NA,NA
"207", 535,Titusville,16354,  56, -1, 0,NA,NA,NA
"208", 536,Townville,16360,  -1,  0, 0,NA,NA,NA
"209", 537,Utica,16362,  -1,  0, 0,NA,NA,NA
"210", 538,Venus,16364,   5,  0, 0,NA,NA,NA
"211", 539,Warren,16365,  77, -1, 0,NA,NA,NA
"212", 540,Youngsville,16371,  18,  0, 0,NA,NA,NA
"213", 541,Clintonville,16372,  -1,  0, 0,NA,NA,NA
"214", 542,Emlenton,16373,  15, -1, 0,NA,NA,NA
"215", 543,Kennerdell,16374,  10,  0, 0,NA,NA,NA
"216", 544,Albion,16401,  28,  0, 0,NA,NA,NA
"217", 545,Bear Lake,16402,  -1,  0, 0,NA,NA,NA
"218", 546,Cambridge Springs,16403,  24,  0, 0,NA,NA,NA
"219", 547,Centerville,16404,  10,  0, 0,NA,NA,NA
"220", 548,Columbus,16405,  -1,  0, 0,NA,NA,NA
"221", 549,Conneautville,16406,  20, -1, 0,NA,NA,NA
"222", 550,Corry,16407,  70,  0, 0,NA,NA,NA
"223", 551,Cranesville,16410,  11,  0, 0,NA,NA,NA
"224", 552,East Springfield,16411,  10,  0, 0,NA,NA,NA
"225", 553,Edinboro,16412,  42, -1, 0,NA,NA,NA
"226", 554,Fairview,16415,  72, -1, 0,NA,NA,NA
"227", 555,Girard,16417,  51, -1, 0,NA,NA,NA
"228", 556,Grand Valley,16420,   5,  0, 0,NA,NA,NA
"229", 557,Harborcreek,16421,  14,  0, 0,NA,NA,NA
"230", 558,Lake City,16423,  28,  0, 0,NA,NA,NA
"231", 559,Linesville,16424,  11, -1, 0,NA,NA,NA
"232", 560,Mc Kean,16426,  26,  0, 0,NA,NA,NA
"233", 561,North East,16428,  66, -1, 0,NA,NA,NA
"234", 562,North Springfield,16430,   0,  0, 0,NA,NA,NA
"235", 563,Saegertown,16433,  45,  0, 0,NA,NA,NA
"236", 564,Spartansburg,16434,  14, -1, 0,NA,NA,NA
"237", 565,Springboro,16435,   6,  0, 0,NA,NA,NA
"238", 566,Spring Creek,16436,  -1,  0, 0,NA,NA,NA
"239", 567,Union City,16438,  47,  0, 0,NA,NA,NA
"240", 568,Venango,16440,  -1, -1,-1,NA,NA,NA
"241", 569,Waterford,16441,  59, -1, 0,NA,NA,NA
"242", 570,Wattsburg,16442,  17,  0, 0,NA,NA,NA
"243", 571,West Springfield,16443,   8,  0, 0,NA,NA,NA
"244", 572,Edinboro,16444,   0,  0, 0,NA,NA,NA
"245", 573,Erie,16501,  20, -1, 0,NA,NA,NA
"246", 574,Erie,16502, 126, -1,-1,NA,NA,NA
"247", 575,Erie,16503, 100, 12, 5,NA,NA,NA
"248", 576,Erie,16504, 140,  9, 0,NA,NA,NA
"249", 577,Erie,16505, 132, -1, 0,NA,NA,NA
"250", 578,Erie,16506, 158,  8, 0,NA,NA,NA
"251", 579,Erie,16507,  70, -1,-1,NA,NA,NA
"252", 580,Erie,16508, 151,  7,-1,NA,NA,NA
"253", 581,Erie,16509, 225,  8, 0,NA,NA,NA
"254", 582,Erie,16510, 181,  7,-1,NA,NA,NA
"255", 583,Erie,16511,  94,  6,-1,NA,NA,NA
"256", 584,Erie,16565,  -1,  0, 0,NA,NA,NA
"257", 585,Altoona,16601, 166,  8, 0,NA,NA,NA
"258", 586,Altoona,16602, 158,  8, 0,NA,NA,NA
"259", 587,Alexandria,16611,   9, -1, 0,NA,NA,NA
"260", 588,Ashville,16613,   9,  0, 0,NA,NA,NA
"261", 589,Beccaria,16616,   0, -1,-1,NA,NA,NA
"262", 590,Bellwood,16617,  10, -1, 0,NA,NA,NA
"263", 591,Brisbin,16620,  -1,  0, 0,NA,NA,NA
"264", 592,Broad Top,16621,   5,  0, 0,NA,NA,NA
"265", 593,Calvin,16622,   0,  0, 0,NA,NA,NA
"266", 594,Cassville,16623,   7,  0, 0,NA,NA,NA
"267", 595,Claysburg,16625,  15,  0, 0,NA,NA,NA
"268", 596,Coalport,16627,  11, -1, 0,NA,NA,NA
"269", 597,Cresson,16630,  24, -1, 0,NA,NA,NA
"270", 598,Dudley,16634,  -1,  0, 0,NA,NA,NA
"271", 599,Duncansville,16635,  57, -1, 0,NA,NA,NA
"272", 600,Dysart,16636,  -1, -1, 0,NA,NA,NA
"273", 601,East Freedom,16637,  13, -1, 0,NA,NA,NA
"274", 602,Fallentimber,16639,  -1,  0, 0,NA,NA,NA
"275", 603,Flinton,16640,  -1, -1, 0,NA,NA,NA
"276", 604,Gallitzin,16641,  16,  0, 0,NA,NA,NA
"277", 605,Glen Hope,16645,   0,  0, 0,NA,NA,NA
"278", 606,Hastings,16646,  27, -1, 0,NA,NA,NA
"279", 607,Hesston,16647,  -1,  0, 0,NA,NA,NA
"280", 608,Hollidaysburg,16648,  90, -1, 0,NA,NA,NA
"281", 609,Hopewell,16650,  14,  0, 0,NA,NA,NA
"282", 610,Houtzdale,16651,  15, -1, 0,NA,NA,NA
"283", 611,Huntingdon,16652, 142, 20,-1,NA,NA,NA
"284", 612,Imler,16655,  -1, -1, 0,NA,NA,NA
"285", 613,Irvona,16656,  -1,  0, 0,NA,NA,NA
"286", 614,James Creek,16657,  12, -1,-1,NA,NA,NA
"287", 615,Loysburg,16659,   0,  0, 0,NA,NA,NA
"288", 616,Madera,16661,  -1,  0, 0,NA,NA,NA
"289", 617,Martinsburg,16662,  18,  0, 0,NA,NA,NA
"290", 618,New Enterprise,16664,   9,  0, 0,NA,NA,NA
"291", 619,Osceola Mills,16666,  22, -1, 0,NA,NA,NA
"292", 620,Osterburg,16667,  10,  5, 0,NA,NA,NA
"293", 621,Patton,16668,  18, -1, 0,NA,NA,NA
"294", 622,Petersburg,16669,  14, -1,-1,NA,NA,NA
"295", 623,Queen,16670,  -1,  0, 0,NA,NA,NA
"296", 624,Ramey,16671,   0,  0, 0,NA,NA,NA
"297", 625,Roaring Spring,16673,  18,  0, 0,NA,NA,NA
"298", 626,Robertsdale,16674,  -1,  0, 0,NA,NA,NA
"299", 627,Saxton,16678,  13, -1, 0,NA,NA,NA
"300", 628,Six Mile Run,16679,  -1,  0, 0,NA,NA,NA
"301", 629,Smithmill,16680,  -1,  0, 0,NA,NA,NA
"302", 630,Sproul,16682,   0,  0, 0,NA,NA,NA
"303", 631,Spruce Creek,16683,  -1,  0, 0,NA,NA,NA
"304", 632,Todd,16685,   0,  0, 0,NA,NA,NA
"305", 633,Tyrone,16686,  80, -1, 0,NA,NA,NA
"306", 634,Waterfall,16689,  -1,  0, 0,NA,NA,NA
"307", 635,Wells Tannery,16691,  -1,  0, 0,NA,NA,NA
"308", 636,Westover,16692,   8,  0, 0,NA,NA,NA
"309", 637,Williamsburg,16693,  13, -1, 0,NA,NA,NA
"310", 638,Woodbury,16695,  -1,  0, 0,NA,NA,NA
"311", 639,Bradford,16701,  76,  0, 0,NA,NA,NA
"312", 640,Austin,16720,  10,  0, 0,NA,NA,NA
"313", 641,Crosby,16724,   0,  0, 0,NA,NA,NA
"314", 642,Cyclone,16726,  -1,  0, 0,NA,NA,NA
"315", 643,Derrick City,16727,  -1,  0, 0,NA,NA,NA
"316", 644,Duke Center,16729,  -1,  0, 0,NA,NA,NA
"317", 645,Eldred,16731,  13,  0, 0,NA,NA,NA
"318", 646,Gifford,16732,  -1,  0, 0,NA,NA,NA
"319", 647,James City,16734,   0,  0, 0,NA,NA,NA
"320", 648,Kane,16735,  26,  6, 0,NA,NA,NA
"321", 649,Lewis Run,16738,   0,  0, 0,NA,NA,NA
"322", 650,Mount Jewett,16740,   6,  0, 0,NA,NA,NA
"323", 651,Port Allegany,16743,  20,  0, 0,NA,NA,NA
"324", 652,Rew,16744,  -1,  0, 0,NA,NA,NA
"325", 653,Rixford,16745,  -1,  0, 0,NA,NA,NA
"326", 654,Roulette,16746,  -1, -1, 0,NA,NA,NA
"327", 655,Shinglehouse,16748,   9,  0, 0,NA,NA,NA
"328", 656,Smethport,16749,  26,  0, 0,NA,NA,NA
"329", 657,Turtlepoint,16750,   0,  0, 0,NA,NA,NA
"330", 658,State College,16801, 251, 27, 0,NA,NA,NA
"331", 659,University Park,16802,  10,  0, 0,NA,NA,NA
"332", 660,State College,16803, 165,  9, 0,NA,NA,NA
"333", 661,Aaronsburg,16820,   9,  0, 0,NA,NA,NA
"334", 662,Allport,16821,   5,  0, 0,NA,NA,NA
"335", 663,Beech Creek,16822,  18, -1, 0,NA,NA,NA
"336", 664,Bellefonte,16823, 236, 32,-1,NA,NA,NA
"337", 665,Boalsburg,16827,  43,  9, 0,NA,NA,NA
"338", 666,Centre Hall,16828,  31, -1, 0,NA,NA,NA
"339", 667,Clarence,16829,   6,  0, 0,NA,NA,NA
"340", 668,Clearfield,16830, 104,  5, 0,NA,NA,NA
"341", 669,Coburn,16832,   7,  0, 0,NA,NA,NA
"342", 670,Curwensville,16833,  24,  0, 0,NA,NA,NA
"343", 671,Frenchville,16836,   5,  0, 0,NA,NA,NA
"344", 672,Glen Richey,16837,  -1,  0, 0,NA,NA,NA
"345", 673,Grampian,16838,  14,  0, 0,NA,NA,NA
"346", 674,Grassflat,16839,  -1,  0, 0,NA,NA,NA
"347", 675,Hawk Run,16840,  -1,  0, 0,NA,NA,NA
"348", 676,Howard,16841,  32, -1, 0,NA,NA,NA
"349", 677,Julian,16844,  20, -1, 0,NA,NA,NA
"350", 678,Karthaus,16845,   9,  0, 0,NA,NA,NA
"351", 679,Lecontes Mills,16850,   0,  0, 0,NA,NA,NA
"352", 680,Madisonburg,16852,  -1, -1, 0,NA,NA,NA
"353", 681,Millheim,16854,   7,  0, 0,NA,NA,NA
"354", 682,Morrisdale,16858,  29,  0, 0,NA,NA,NA
"355", 683,Moshannon,16859,   5,  0, 0,NA,NA,NA
"356", 684,Munson,16860,  -1, -1,-1,NA,NA,NA
"357", 685,New Millport,16861,  -1,  0, 0,NA,NA,NA
"358", 686,Olanta,16863,   5,  0, 0,NA,NA,NA
"359", 687,Orviston,16864,  -1,  0, 0,NA,NA,NA
"360", 688,Pennsylvania Furnace,16865,  10,  0, 0,NA,NA,NA
"361", 689,Philipsburg,16866,  56, -1, 0,NA,NA,NA
"362", 690,Port Matilda,16870,  53,  8, 0,NA,NA,NA
"363", 691,Pottersdale,16871,  -1,  0, 0,NA,NA,NA
"364", 692,Rebersburg,16872,   5,  0, 0,NA,NA,NA
"365", 693,Snow Shoe,16874,  16,  0, 0,NA,NA,NA
"366", 694,Spring Mills,16875,  19,  0, 0,NA,NA,NA
"367", 695,Wallaceton,16876,   0,  0, 0,NA,NA,NA
"368", 696,Warriors Mark,16877,   6,  0, 0,NA,NA,NA
"369", 697,West Decatur,16878,  14, -1, 0,NA,NA,NA
"370", 698,Winburne,16879,  -1,  0, 0,NA,NA,NA
"371", 699,Woodland,16881,  13,  0, 0,NA,NA,NA
"372", 700,Woodward,16882,  -1,  0, 0,NA,NA,NA
"373", 701,Wellsboro,16901,  55, -1, 0,NA,NA,NA
"374", 702,Blossburg,16912,  12,  0, 0,NA,NA,NA
"375", 703,Columbia Cross Roads,16914,  23, -1, 0,NA,NA,NA
"376", 704,Coudersport,16915,  25, -1, 0,NA,NA,NA
"377", 705,Covington,16917,   6, -1, 0,NA,NA,NA
"378", 706,Elkland,16920,   8, -1, 0,NA,NA,NA
"379", 707,Gaines,16921,  -1,  0, 0,NA,NA,NA
"380", 708,Galeton,16922,  12,  0, 0,NA,NA,NA
"381", 709,Genesee,16923,  -1,  0, 0,NA,NA,NA
"382", 710,Gillett,16925,  28, -1, 0,NA,NA,NA
"383", 711,Granville Summit,16926,  -1,  0, 0,NA,NA,NA
"384", 712,Harrison Valley,16927,   0,  0, 0,NA,NA,NA
"385", 713,Knoxville,16928,  -1,  0, 0,NA,NA,NA
"386", 714,Lawrenceville,16929,  11, -1, 0,NA,NA,NA
"387", 715,Liberty,16930,  -1, -1, 0,NA,NA,NA
"388", 716,Mainesburg,16932,  -1,  0, 0,NA,NA,NA
"389", 717,Mansfield,16933,  45, -1,-1,NA,NA,NA
"390", 718,Middlebury Center,16935,   6,  0, 0,NA,NA,NA
"391", 719,Millerton,16936,   9, -1, 0,NA,NA,NA
"392", 720,Mills,16937,  -1,  0, 0,NA,NA,NA
"393", 721,Morris,16938,   5,  0, 0,NA,NA,NA
"394", 722,Morris Run,16939,   0,  0, 0,NA,NA,NA
"395", 723,Nelson,16940,  -1,  0, 0,NA,NA,NA
"396", 724,Genesee,16941,  -1,  0, 0,NA,NA,NA
"397", 725,Osceola,16942,   7,  0, 0,NA,NA,NA
"398", 726,Sabinsville,16943,  -1,  0, 0,NA,NA,NA
"399", 727,Tioga,16946,  15, -1, 0,NA,NA,NA
"400", 728,Troy,16947,  34, -1,-1,NA,NA,NA
"401", 729,Ulysses,16948,  12,  0, 0,NA,NA,NA
"402", 730,Westfield,16950,  21,  0, 0,NA,NA,NA
"403", 731,Allensville,17002,   5,  0, 0,NA,NA,NA
"404", 732,Annville,17003, 129, 21,-1,NA,NA,NA
"405", 733,Belleville,17004,  17, -1, 0,NA,NA,NA
"406", 734,Berrysburg,17005,  -1, -1, 0,NA,NA,NA
"407", 735,Blain,17006,  -1,  0, 0,NA,NA,NA
"408", 736,Boiling Springs,17007,  21, -1, 0,NA,NA,NA
"409", 737,Burnham,17009,  22, -1, 0,NA,NA,NA
"410", 738,Camp Hill,17011, 232, 97, 0,NA,NA,NA
"411", 739,Carlisle,17013, 222, 37, 0,NA,NA,NA
"412", 740,Cocolamus,17014,  -1,  0, 0,NA,NA,NA
"413", 741,Carlisle,17015, 122, 17,-1,NA,NA,NA
"414", 742,Dalmatia,17017,  20, -1,-1,NA,NA,NA
"415", 743,Dauphin,17018,  31,  5, 0,NA,NA,NA
"416", 744,Dillsburg,17019, 110, 13, 0,NA,NA,NA
"417", 745,Duncannon,17020,  57, -1, 0,NA,NA,NA
